ivType,securityIdentifier,securityName,finalMaturityDate,securityRedemptionPrice,interestRt,ioHybridField,as400RateType,prospectiveMethod,defIndicator,securityPrice,fxRate,portfolioNumber,portfolioName,reportDate, earnedInflationaryCompensationBase , accruedIncome , marketValue , shareParAmount , earnedAmortizationBase , positionValInflationAdjShares ,derRedemptionDate,derRedemptionPrice,derCleanPrice,derSecurityType,derTIPSInflationaryRatio,derStepIndicator,derHybridIndicator,deryieldCalcEngine, derincomeCalcEngine ,derOneDaySecurityYield,derOneDaySecurityIncome
VPS,912810RF7,USTN TII 1.375% 02/15/44,2044-02-15,100,1.375,,F,,N,113.2000297,1,1,FUND 1,2014-12-01,-4956.5600,257693.7200,70135342.4000,61957000.0000,-648.4700,63273586.2500,2044-02-15,100,110.8445823,TIPS,1.02125,F,F,YTM,TIPS INCOME ENGINE,0.0095,-3101.0000
VPS,912810RF7,USTN TII 1.375% 02/15/44,2044-02-15,100,1.375,,F,,N,113.2000297,1,3,FUND 3,2014-12-01,-2775.0400,144275.5400,39266826.3000,34688000.0000,-373.7100,35425120.0000,2044-02-15,100,110.8445823,TIPS,1.02125,F,F,YTM,TIPS INCOME ENGINE,0.0095,-1736.1600
VPS,912810RF7,USTN TII 1.375% 02/15/44,2044-02-15,100,1.375,,F,,N,113.2000297,1,4,FUND 4,2014-12-01,-148.0000,7694.5800,2094200.5500,1850000.0000,-14.9800,1889312.5000,2044-02-15,100,110.8445823,TIPS,1.02125,F,F,YTM,TIPS INCOME ENGINE,0.0095,-92.5900
VPS,912828WU0,USTN TII 0.125% 07/15/24,2024-07-15,100,0.125,,F,,N,97.5832657,1,4,FUND 4,2014-12-01,-186.4800,1111.1300,2274665.9200,2331000.0000,22.4900,2336547.7800,2024-07-15,100,97.35156897,TIPS,1.00238,F,F,YTM,TIPS INCOME ENGINE,0.0041,-160.8200
VPS,912810RF7,USTN TII 1.375% 02/15/44,2044-02-15,100,1.375,,F,,N,113.2000297,1,5,FUND 5,2014-12-01,-6349.6000,330118.4700,89846863.5700,79370000.0000,-824.5100,81056612.5000,2044-02-15,100,110.8445823,TIPS,1.02125,F,F,YTM,TIPS INCOME ENGINE,0.0095,-3972.5300
VPS,BBFKMW7,ITALY GOVT I/L 2.25% 4/17,2017-04-22,100,2.25,,F,,N,103.3477851,0.80182817,6,FUND 6,2014-12-01, -   ,13938.8700,5684128.1800,5500000.0000, -   ,5500000.0000,2017-04-22,100,103.3477851,TIPS,1,F,F,YTM,TIPS INCOME ENGINE,0.0083,164.4600
VPS,BMP36Z4,SPAIN GOVERNMEN I/L 1.8 1,2024-11-30,100,1.8,,F,,N,110.1470269,0.80182817,6,FUND 6,2014-12-01, -   ,295.8900,3304410.8100,3000000.0000, -   ,3000000.0000,2024-11-30,100,110.1470269,TIPS,1,F,F,YTM,TIPS INCOME ENGINE,0.0074,85.2800
VPS,BBDR7T2,UK GILT I/L 0.125 11/22/1,2019-11-22,100,0.125,,F,,N,110.5044636,0.6353442,7,FUND 7,2014-12-01, -   ,353.9400,11326707.5200,10250000.0000, -   ,10250000.0000,2019-11-22,100,110.5044636,TIPS,1,F,F,YTM,TIPS INCOME ENGINE,-0.0188,-930.7100
VPS,B85SFQ5,UK GILT I/L 3MO 0.125 3/2,2024-03-22,100,0.125,,F,,N,116.3048535,0.6353442,7,FUND 7,2014-12-01, -   ,4265.8800,20237044.5100,17400000.0000, -   ,17400000.0000,2024-03-22,100,116.3048535,TIPS,1,F,F,YTM,TIPS INCOME ENGINE,-0.0150,-1327.9600
VPS,912810RF7,USTN TII 1.375% 02/15/44,2044-02-15,100,1.375,,F,,N,113.2000297,1,7,FUND 7,2014-12-01,-1737.3600,90326.1000,24583650.4500,21717000.0000,-232.9600,22178486.2500,2044-02-15,100,110.8445823,TIPS,1.02125,F,F,YTM,TIPS INCOME ENGINE,0.0095,-1086.9500
VPS,BBDR7T2,UK GILT I/L 0.125 11/22/1,2019-11-22,100,0.125,,F,,N,110.5044636,0.6353442,9,FUND 9,2014-12-01, -   ,500.6900,16023147.2200,14500000.0000, -   ,14500000.0000,2019-11-22,100,110.5044636,TIPS,1,F,F,YTM,TIPS INCOME ENGINE,-0.0188,-1316.6100
VPS,B85SFQ5,UK GILT I/L 3MO 0.125 3/2,2024-03-22,100,0.125,,F,,N,116.3048535,0.6353442,9,FUND 9,2014-12-01, -   ,4780.7300,22679446.4300,19500000.0000, -   ,19500000.0000,2024-03-22,100,116.3048535,TIPS,1,F,F,YTM,TIPS INCOME ENGINE,-0.0150,-1488.2300
VPS,912810RF7,USTN TII 1.375% 02/15/44,2044-02-15,100,1.375,,F,,N,113.2000297,1,9,FUND 9,2014-12-01,-1940.6400,100894.7200,27460063.2000,24258000.0000,-259.3400,24773482.5000,2044-02-15,100,110.8445823,TIPS,1.02125,F,F,YTM,TIPS INCOME ENGINE,0.0095,-1214.1300
